,China,Germany,France,UK,India,Russia,US
1960,0.0,1586.74941529824,1461.82436684199,2412.13740458015,0.0,0.0,4049.786628734
1961,0.0,1683.4149131441,1552.97819259512,2553.69318181818,0.0,0.0,4182.17550124938
1962,0.0,1790.68687742638,1662.02486789372,2780.6572769953,0.0,0.0,4433.60602129325
1963,0.0,1916.92752796775,1765.43074686191,3002.08760484623,0.0,0.0,4690.48625569377
1964,0.0,2060.547353827,1916.2187743394,3127.46296296296,0.0,0.0,4970.44645602406
1965,0.0,2194.20606119805,2009.93223674423,3330.18387964242,0.0,0.0,5234.68500229024
1966,0.0,2300.49979823189,2117.28753620674,3425.80308700147,0.0,0.0,5590.33374033374
1967,0.0,2362.90894286748,2205.98350077876,3506.88706236941,0.0,0.0,5888.34091549579
1968,0.0,2579.74991536894,2283.66401650471,3762.59017563306,0.0,0.0,6385.45932857015
1969,0.0,2815.2213482273,2484.9099470765,4006.33096898998,0.0,0.0,6904.83379959245
1970,0.0,3834.17840732823,2638.78845217964,4166.93240153962,0.0,0.0,7236.65704309151
1971,151.989347346645,4064.45471612434,2761.70138741577,4254.65241184543,97.4071580152349,0.0,7517.30464555213
1972,163.911928819183,4335.76962474748,2938.28278216634,4372.63694645007,100.003779266455,0.0,8076.40926935244
1973,175.933736988911,4654.9850483931,3171.95835310891,4671.71829740644,100.406389295402,0.0,8573.19415409445
1974,174.233353695785,4803.42320358824,3276.06816405427,4534.25427513091,103.835854845252,0.0,8449.92845586241
1975,199.039715406566,4743.9448331011,3267.64599861273,4492.42162850506,114.48151944199,0.0,8522.39400295407
1976,204.030364731354,5146.93257779375,3611.49584526032,4587.68851501517,124.158475517339,0.0,8968.7756552847
1977,220.657053065594,5285.26078631661,3707.4258509297,4668.42316900327,126.396833781334,0.0,9337.72401799863
1978,246.555772277797,5574.74521659247,3947.60544391107,4729.84938707219,136.168978069718,0.0,9560.5454096188
1979,267.374265354668,5786.12721572171,4216.56485444101,4922.91573280123,136.089864304309,0.0,9700.69538557242
1980,281.624687256366,5797.49975270977,4430.72769956548,4683.93273911511,142.139732152272,0.0,9862.36549675432
1981,285.817775698396,5832.06487070239,4585.46528398489,4572.95384625817,152.415036395634,0.0,9976.69371497302
1982,299.197921933712,5822.02735932476,4620.52483614693,4480.33541287092,158.765561913971,0.0,9544.46094343532
1983,317.020257790894,5965.45819348748,4713.24310816761,4549.17528756934,166.487772077772,0.0,9742.00571448125
1984,336.411641308803,6239.97181560413,4950.11159434513,4597.73969307614,184.248122293753,0.0,10282.3746422135
1985,362.812071852641,6448.5398592336,5267.4074644336,4826.71452591524,194.556283380377,0.0,10414.2078983205
1986,391.351624968363,6530.23871353475,5520.79371294845,4953.65357621044,209.044230344839,0.0,10424.4272965398
1987,426.554493166734,6666.21959529249,5665.1742748342,5082.43980630981,221.291444986453,0.0,10886.8582560496
1988,461.797518222997,6776.30791187298,5753.48438338089,5232.73764921987,241.102127681118,0.0,11298.3325085174
1989,487.373173021052,6835.32990821242,5878.08299658268,5295.22452686526,258.041936425516,0.0,11531.9323066701
1990,510.619854913516,6639.73169146049,5988.66036022823,5356.57521000099,272.946647217541,6687.72701103006,11713.3317042099
1991,548.953753106589,6564.79719472728,6359.9626056932,5451.67717061817,291.662528225303,6551.29981615995,12134.1721315039
1992,604.693683099136,6445.87399989269,6475.92810752595,5452.3933334123,305.013128465951,6113.67997148908,12014.9582478929
1993,662.63704558569,6288.41635005255,6453.0661657195,5491.98911810322,320.914971418235,5726.4515926869,12261.5237824091
1994,727.107359659684,6244.95722825812,6530.36863037658,5380.26426515376,341.35405246045,5188.21395452286,12455.1621656545
1995,770.280241190849,6327.70975399499,6621.74623833581,5575.8084890423,358.629560258791,5101.55339563591,12659.607628118
1996,821.080859102296,6403.33372597692,6904.76805272488,5815.82840427425,359.481085908426,5016.44406640602,12854.2989079193
1997,852.740686543503,6427.79876840273,6832.55598837978,5831.95754702826,374.947411556112,4935.61990495362,12889.8322801175
1998,870.617222318398,6479.49024948385,7014.74379240437,5908.87149023065,385.126966761305,4848.02735251951,13154.7630268185
1999,913.963447975829,6505.13299942364,7148.38684512636,6007.48441621387,391.119633714118,4998.82566135888,13281.8699827982
2000,992.943384720171,6635.42140596667,7223.47345227745,6114.52925918564,392.510175745406,5198.40570401268,13671.0520240061
2001,1076.54912135865,6762.65339646636,7341.0652576577,6141.98255122284,392.360903573464,5274.3633046315,13046.6141478464
2002,1194.85629490784,6900.78052702986,7297.95347934007,6142.74983363365,408.776900626416,5304.41525955994,13296.1822993023
2003,1379.48463210183,7009.72649196861,7528.08882282578,6174.55089583941,428.213284527025,5478.13045818384,13307.4920085002
2004,1585.83878247787,7108.96252447699,7660.09720024008,6138.75413718816,448.972015525718,5633.84550039094,13388.5897105591
2005,1782.31215291627,7138.22148529185,7651.76896802016,6270.98405949047,465.176677304081,5770.10063642248,13704.5770481407
2006,2039.0146603408,7212.43744768757,7539.47998044454,6200.5541127704,506.222508618557,6098.53347618072,13583.2669593387
2007,2325.92676902765,7229.08991294766,7512.93267784971,6102.39676772278,538.786595949405,6286.04939176058,13657.4528282523
2008,2446.36905458402,7187.76400909623,7642.8910133406,6015.72686068947,558.426753458539,6399.68374911202,13663.4279681827
2009,2612.45662004417,6817.15839823657,7337.60701967903,5643.1285945674,595.605655832676,6095.38027602538,12913.7146883015
2010,2943.58995443689,7264.32259073555,7734.36187516411,5700.85586444268,637.125844225376,6409.89436516487,13394.9027551068
2011,3295.78486805176,7281.27217417162,7232.70816097633,5471.93347456267,692.779356959802,6485.759030014,13245.8819278677
2012,3466.01953935563,7270.15252302734,7363.15118095271,5449.25947267211,718.295946185698,6617.1341613974,12964.1879389302
2013,3757.18508846571,7217.52908915495,7367.44145343202,5409.62642171886,758.110675158719,6539.20737452554,13004.0235689845
2014,3905.31759800563,7035.48297471676,6939.94352490927,5130.39025330028,797.349232010839,6602.65747938354,12993.9655794706
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed: 66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
